 Year ; Cultura ; Crop ; Region ; Council ; Distrito ; Nut2 ; Nut3 ;TSI;Pre;StateSupport
2021;olival - azeitona de mesa; olive grove - table olives ;E;Mogadouro; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;3262.46;107.33;61.18
2021;outras em forçagem; other in forcing ;B;Alcobaça; Leiria ; Região do Centro ; Oeste ;5000.13;32.00;18.24
2021;outras em forçagem; other in forcing ;B;Odemira; Beja ; Alentejo ; Alentejo Litoral ;3241453.60;17571.25;9977.10
2021;outras em forçagem; other in forcing ;D;Vila Nova de Famalicão; Braga ; Região do Norte ; Ave ;87265.20;1221.69;696.35
2021;outras em forçagem; other in forcing ;D;Viseu; Viseu ; Região do Centro ; Viseu Dão Lafões ;1023.00;14.32;8.16
2021;palhas; straw ;B;Alcácer do Sal; Setúbal ; Alentejo ; Alentejo Litoral ;12475.28;60.88;25.37
2021;palhas; straw ;B;Grândola; Setúbal ; Alentejo ; Alentejo Litoral ;31.20;0.10;0.06
2021;palhas; straw ;B;Odemira; Beja ; Alentejo ; Alentejo Litoral ;2251.32;7.60;4.33
2021;palhas; straw ;B;Santiago do Cacém; Setúbal ; Alentejo ; Alentejo Litoral ;28731.86;97.54;57.76
2021;palhas; straw ;C;Alandroal; Évora ; Alentejo ; Alentejo Central ;154882.29;777.17;372.41
2021;palhas; straw ;C;Alcanena; Santarém ; Região do Centro ; Médio Tejo ;585.90;2.40;1.36
2021;palhas; straw ;C;Aljustrel; Beja ; Alentejo ; Baixo Alentejo ;223411.78;915.96;538.51
2021;palhas; straw ;C;Almodôvar; Beja ; Alentejo ; Baixo Alentejo ;3932.91;17.23;9.29
2021;palhas; straw ;C; Alter do Chão ; Portalegre ; Alentejo ; Alto Alentejo ;19172.06;78.56;47.11
2021;palhas; straw ;C;Arraiolos; Évora ; Alentejo ; Alentejo Central ;3196.34;13.10;7.86
2021;palhas; straw ;C;Arronches; Portalegre ; Alentejo ; Alto Alentejo ;7053.98;36.92;17.14
2021;palhas; straw ;C;Avis; Portalegre ; Alentejo ; Alto Alentejo ;6959.44;31.50;16.50
2021;palhas; straw ;C;Beja; Beja ; Alentejo ; Baixo Alentejo ;359881.20;1467.51;875.06
2021;palhas; straw ;C;Borba; Évora ; Alentejo ; Alentejo Central ;1902.25;8.92;4.67
2021;palhas; straw ;C;Campo Maior; Portalegre ; Alentejo ; Alto Alentejo ;173031.77;822.65;425.15
2021;palhas; straw ;C;Castro Verde; Beja ; Alentejo ; Baixo Alentejo ;144881.20;593.87;352.48
2021;palhas; straw ;C;Constância; Santarém ; Região do Centro ; Médio Tejo ;1425.88;8.15;3.45
2021;palhas; straw ;C;Cuba; Beja ; Alentejo ; Baixo Alentejo ;8023.39;32.87;19.44
2021;palhas; straw ;C;Elvas; Portalegre ; Alentejo ; Alto Alentejo ;233113.68;1112.56;569.62
2021;palhas; straw ;C;Estremoz; Évora ; Alentejo ; Alentejo Central ;33844.00;138.70;82.66
2021;palhas; straw ;C;Évora; Évora ; Alentejo ; Alentejo Central ;240765.54;1653.63;591.39
2021;palhas; straw ;C;Ferreira do Alentejo; Beja ; Alentejo ; Baixo Alentejo ;106607.04;430.23;253.26
2021;palhas; straw ;C;Fronteira; Portalegre ; Alentejo ; Alto Alentejo ;71170.74;310.53;172.35
2021;palhas; straw ;C;Mértola; Beja ; Alentejo ; Baixo Alentejo ;19200.04;77.85;45.90
2021;palhas; straw ;C;Monforte; Portalegre ; Alentejo ; Alto Alentejo ;88348.21;394.74;216.77
2021;palhas; straw ;C;Montemor-o-Novo; Évora ; Alentejo ; Alentejo Central ;13828.81;56.69;32.31
2021;palhas; straw ;C;Moura; Beja ; Alentejo ; Baixo Alentejo ;89361.64;366.22;213.24
2021;palhas; straw ;C;Mourão; Évora ; Alentejo ; Alentejo Central ;32838.25;134.57;76.98
2021;palhas; straw ;C;Nisa; Portalegre ; Alentejo ; Alto Alentejo ;132.80;0.54;0.32
2021;palhas; straw ;C;Ourique; Beja ; Alentejo ; Baixo Alentejo ;18832.72;77.13;45.53
2021;palhas; straw ;C;Portel; Évora ; Alentejo ; Alentejo Central ;38945.00;303.47;95.79
2021;palhas; straw ;C;Redondo; Évora ; Alentejo ; Alentejo Central ;6028.41;33.55;14.75
2021;palhas; straw ;C;Reguengos de Monsaraz; Évora ; Alentejo ; Alentejo Central ;22072.64;90.49;51.60
2021;palhas; straw ;C;Santarém; Santarém ; Alentejo ; Lezíria do Tejo ;18478.81;75.68;43.50
2021;palhas; straw ;C;Serpa; Beja ; Alentejo ; Baixo Alentejo ;41510.53;170.06;99.17
2021;palhas; straw ;C;Sousel; Portalegre ; Alentejo ; Alto Alentejo ;45961.92;188.42;113.04
2021;palhas; straw ;C;Torres Novas; Santarém ; Região do Centro ; Médio Tejo ;857.43;3.49;1.98
2021;palhas; straw ;C;Vidigueira; Beja ; Alentejo ; Baixo Alentejo ;19096.81;78.20;45.16
2021;palhas; straw ;C;Vila Viçosa; Évora ; Alentejo ; Alentejo Central ;35434.13;207.90;86.84
2021;palhas; straw ;D;Fundão; Castelo Branco ; Região do Centro ; Beiras e Serra da Estrela ;545.17;17.78;2.33
2021;palhas; straw ;D;Idanha-a-Nova; Castelo Branco ; Região do Centro ; Beira Baixa ;24413.71;183.10;104.36
2021;palhas; straw ;E; Bragança ; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;5961.60;61.39;36.05
2021;palhas; straw ;E;Macedo de Cavaleiros; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;76.78;0.78;0.44
2021;palhas; straw ;E;Miranda do Douro; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;19611.26;201.88;120.54
2021;palhas; straw ;E;Mogadouro; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;1420.03;14.62;8.77
2021;palhas; straw ;E;Vinhais; Bragança ; Região do Norte ; Terras de Trás-os-Montes ;2470.20;25.34;14.41
2021;pepino; cucumber ;C;Coruche; Santarém ; Alentejo ; Lezíria do Tejo ;9226.25;152.23;86.77
2021;pêra; pear ;A;Loures; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;14877.00;528.13;316.88
2021;pêra; pear ;A;Lourinhã; Lisboa ; Região do Centro ; Oeste ;1183298.05;39755.45;23437.88
2021;pêra; pear ;A;Mafra; Lisboa ; Região de Lisboa ; Área Metropolitana de Lisboa ;921637.67;32718.14;19630.90
2021;pêra; pear ;A;Torres Vedras; Lisboa ; Região do Centro ; Oeste ;1970753.72;69747.74;41798.76
2021;pêra; pear ;B;Alcobaça; Leiria ; Região do Centro ; Oeste ;2949070.13;153768.08;91174.26
2021;pêra; pear ;B;Alenquer; Lisboa ; Região do Centro ; Oeste ;526064.12;27080.45;15677.65
2021;pêra; pear ;B;Arruda Dos Vinhos; Lisboa ; Região do Centro ; Oeste ;4278.00;224.59;128.01
2021;pêra; pear ;B;Azambuja; Lisboa ; Alentejo ; Lezíria do Tejo ;378515.92;16971.48;10167.36
2021;pêra; pear ;B;Bombarral; Leiria ; Região do Centro ; Oeste ;3428624.28;171192.91;100719.74
2021;pêra; pear ;B;Cadaval; Lisboa ; Região do Centro ; Oeste ;6795485.25;310570.06;183674.19
2021;pêra; pear ;B;Caldas da Rainha; Leiria ; Região do Centro ; Oeste ;3062534.58;160085.58;94479.19
2021;pêra; pear ;B;Leiria; Leiria ; Região do Centro ; Região de Leiria ;10155.27;515.49;309.33
2021;pêra; pear ;B;Montijo; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;59211.00;2466.30;1479.92
2021;pêra; pear ;B;Nazaré; Leiria ; Região do Centro ; Oeste ;546484.14;28662.19;17006.53
2021;pêra; pear ;B;Óbidos; Leiria ; Região do Centro ; Oeste ;731605.00;38385.40;22612.43
2021;pêra; pear ;B;Palmela; Setúbal ; Região de Lisboa ; Área Metropolitana de Lisboa ;11272.50;591.81;355.09
2021;pêra; pear ;B;Peniche; Leiria ; Região do Centro ; Oeste ;39570.00;2101.17;1246.46
2021;pêra; pear ;B; Porto de Mós ; Leiria ; Região do Centro ; Região de Leiria ;262727.11;13107.65;7866.01
